	Species	Genes	Kazachstania africana CBS 2517	Kazachstania naganishii CBS 8797	Kazachstania barnettii	Kazachstania saulgeensis	Kazachstania exigua	mean ZH-Score
1443	5	5	XP_003956363.1	XP_022462785.1	XP_041403915.1	SMN17962.1	KAG0656389.1	44063.61546521739
3400	5	5	XP_003958880.1	XP_022465865.1	XP_041404842.1	SMN22214.1	KAG0658649.1	21442.716249999998
4049	5	5	XP_003959711.1	XP_022462890.1	XP_041404168.1	SMN18212.1	KAG0657277.1	16692.374084999996
1028	5	5	XP_003955828.1	XP_022466351.1	XP_041404660.1	SMN22028.1	KAG0671161.1	15636.902464285715
3193	5	5	XP_003958594.1	XP_022463970.1	XP_041407865.1	SMN22275.1	KAG0656741.1	15114.914445454546
1303	5	5	XP_003956185.1	XP_022466418.1	XP_041407085.1	SMN21413.1	KAG0655022.1	14205.058127999999
2520	5	5	XP_003957699.1	XP_022463313.1	XP_041408366.1	SMN21966.1	KAG0663124.1	13286.397596153845
1141	5	5	XP_003955962.1	XP_022465966.1	XP_041407562.1	SMN21125.1	KAG0661944.1	13236.161451999998
100	5	5	XP_003954718.1	XP_022462870.1	XP_041408799.1	SMN21722.1	KAG0668030.1	13158.752599999998
2477	5	5	XP_003957646.1	XP_022463809.1	XP_041405574.1	SMN19646.1	KAG0667900.1	9954.155576000001
